 DetID      Z            X0            X4           Y0           Y4       
     4     2.286000    -4.235341    -0.371638     8.079102     9.114378
     5     2.286000    -7.707464    -4.879037     4.879036     7.707464
     6     2.286000    -9.114377    -8.079102     0.371638     4.235341
     7     2.286000    -8.079101    -9.114378    -4.235341    -0.371638
     8     2.286000    -4.879035    -7.707464    -7.707463    -4.879037
     9     2.286000    -0.371637    -4.235341    -9.114377    -8.079102
    10     2.286000     4.235342     0.371638    -8.079101    -9.114378
    11     2.286000     7.707463     4.879037    -4.879035    -7.707464
    12     2.286000     9.114376     8.079102    -0.371636    -4.235341
    13     2.286000     8.079100     9.114378     4.235342     0.371638
    14     2.286000     4.879035     7.707464     7.707463     4.879037
    15     2.286000     0.371636     4.235341     9.114376     8.079102
    16    14.986000    -4.235342    -0.371638     8.079100     9.114378
    17    14.986000    -7.707463    -4.879037     4.879035     7.707464
    18    14.986000    -9.114376    -8.079102     0.371636     4.235341
    19    14.986000    -8.079100    -9.114378    -4.235342    -0.371638
    20    14.986000    -4.879035    -7.707464    -7.707463    -4.879037
    21    14.986000    -0.371636    -4.235341    -9.114376    -8.079102
    22    14.986000     4.235342     0.371638    -8.079100    -9.114378
    23    14.986000     7.707463     4.879037    -4.879035    -7.707464
    24    14.986000     9.114376     8.079102    -0.371636    -4.235341
    25    14.986000     8.079100     9.114378     4.235342     0.371638
    26    14.986000     4.879035     7.707464     7.707463     4.879037
    27    14.986000     0.371636     4.235341     9.114376     8.079102
